DN,DN1,D,D1,δ,R0,R1,R2,L0,L1,L2,C1,C2,H,H0,H1,F,a(°),a1,a2,a3,a4
450,250,480,273,9,400,1468,823,505,1480,829,1418,795,637,645,11,94,57.74,35,39,49,63.5
450,300,480,325,9,400,1950,1308,505,1480,993,1445,969,637,641,11,94,43.48,34.7,38.2,48.2,63
450,350,480,377,9,400,2922,2283,505,1480,1156,1464,1144,637,639,11,94,29.01,34.2,38,48,62.5
450,400,480,426,9,400,5557,4920,505,1480,1310,1476,1307,636.5,637,11,94,15.26,34,37,47.4,62.2
500,300,530,325,9,450,1838,1115,555,1637,993,1583,960,716,723,11,94,51.02,40,44,55.1,71.5
500,350,530,377,9,450,2452,1732,555,16377,1156,1607,1135,716,720,11,94,38.25,39.5,43.5,54.6,71
500,400,530,426,9,450,3596,2878,555,1637,1310,1623,1299,716,718,11,94,26.08,39.2,43.2,54.2,70.6
500,450,530,480,9,450,7465,6749,555,1637,1480,1633,1477,716,717,11,94,12.56,39,43,54,70

DN,DN1,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,c1,c2,c3,c4,c5,c6,c7
450,250,80.6,97,111,120,123,78.5,85,103,130,161.2,193,220,238,244,89,94.5,110,133.5,161.2,189,212
450,300,80.2,96.9,111,120.2,123.4,75.5,82,100.3,127.8,160.2,192.7,220.3,238.7,245,83.2,89.1,105.8,130.8,160.2,189.8,215
450,350,79.8,97,111,121,124,73,79,98,126,159.8,193,221,240,247,78,84,102,128,159.8,191,218
450,400,79.7,97,111.4,121,124.5,70,77,96,125,159.2,193.4,222.4,242,248.5,72.6,79,98,126.1,159.2,192.4,220.5
500,300,90.3,109,124.2,134.4,138,88,95.3,115.4,145.3,180.8,216.2,246.4,266.5,273.5,98.5,105,122.6,149.3,180.8,212.2,239
500,350,90,108.7,124.3,134.7,138.3,85.3,92.5,113,143.7,180,216.3,247.1,267.7,275,93,99.6,118.4,146.7,180,213.4,241.7
500,400,89.8,108.7,124.6,135.1,138.8,82.6,90,111,142.4,179.5,216.6,248.1,269,276.5,87.8,94.8,114.6,144.4,179.5,214.6,244.4
500,450,90,109,125,136,1 40,80,87,109,141,179,217,249,271,279,82,90,111,142,179,216,248

DN,DN1,c8,c9,d1,d2,d3,d4,d5,d6,d7,d8,d9,e1,e2,e3,e4,e5,e6,e7,e8,e9,重量(kg)
450,250,228,234,99.5,104,118,137.5,161.2,185,205,218.5,223.5,53.5,55,61,70,80.6,91.5,101,108,110,53
450,300,231.5,237.5,91.1,96.3,111.3,133.8,160.2,186.8,209.3,224.4,230,48.1,50.6,57.4,67.7,80.2,92.7,103.6,111,113.7,57
450,350,235,249,83,89,105,131,159.8,189,214,231,236.5,43.3,46,54,66.5,79.8,94,107,115,117,60
450,400,239.3,246,75.3,81.7,100,127.1,159.2,191.3,218.6,237,243.2,38.7,42,50.6,64,79.7,95.4,109,118,121.2,64
500,300,257,263,109,114.4,130,153.2,180.8,208.3,231.7,247.5,253,58,60,67.2,77.7,90.3,103.3,114.4,122,125,68
500,350,260.6,267.2,100.6,106.6,123.9,149.6,180,210.4,236.3,253.5,259.5,53,55.7,63.6,75.6,90,104.6,117.1,125.6,128.6,72
500,400,264.3,271.21,93,99.3,118.3,146.3,179.5,212.6,240.7,259.7,266.1,48.4,51.3,60.4,73.8,89.7,106,119.7,129.3,132.3,76
500,450,269,276,85,92,112,143,179,216,246,266,274,43,47,57,72,90,108,123,133,136,80
